Model,Layer,Dataset,Index,Label,Pred_M,Pred_SoM,Pred_hG,Correct_M,Correct_SoM,Correct_hG
GPT-2 Small,6,hellaswag,934,1,1,1,1,1,1,1
GPT-2 Small,6,hellaswag,935,0,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,936,2,1,1,1,0,0,0
GPT-2 Small,6,hellaswag,937,0,1,1,1,0,0,0
GPT-2 Small,6,hellaswag,938,1,1,1,1,1,1,1
GPT-2 Small,6,hellaswag,939,2,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,940,0,0,2,2,1,0,0
GPT-2 Small,6,hellaswag,941,0,1,1,1,0,0,0
GPT-2 Small,6,hellaswag,942,2,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,943,1,0,2,2,0,0,0
GPT-2 Small,6,hellaswag,944,3,3,3,3,1,1,1
GPT-2 Small,6,hellaswag,945,1,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,946,0,0,0,0,1,1,1
GPT-2 Small,6,hellaswag,947,2,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,948,1,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,949,1,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,950,0,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,951,0,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,952,2,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,953,0,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,954,0,0,0,0,1,1,1
GPT-2 Small,6,hellaswag,955,0,0,0,0,1,1,1
GPT-2 Small,6,hellaswag,956,0,0,0,0,1,1,1
GPT-2 Small,6,hellaswag,957,0,0,3,3,1,0,0
GPT-2 Small,6,hellaswag,958,2,2,2,2,1,1,1
GPT-2 Small,6,hellaswag,959,1,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,960,0,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,961,3,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,962,3,1,1,1,0,0,0
GPT-2 Small,6,hellaswag,963,3,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,964,3,1,1,1,0,0,0
GPT-2 Small,6,hellaswag,965,2,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,966,1,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,967,3,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,968,1,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,969,1,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,970,1,2,0,0,0,0,0
GPT-2 Small,6,hellaswag,971,2,1,1,1,0,0,0
GPT-2 Small,6,hellaswag,972,2,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,973,0,0,0,0,1,1,1
GPT-2 Small,6,hellaswag,974,2,2,2,2,1,1,1
GPT-2 Small,6,hellaswag,975,3,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,976,3,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,977,0,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,978,2,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,979,0,1,1,1,0,0,0
GPT-2 Small,6,hellaswag,980,1,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,981,1,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,982,0,0,0,0,1,1,1
GPT-2 Small,6,hellaswag,983,1,1,1,1,1,1,1
GPT-2 Small,6,hellaswag,984,3,3,1,1,1,0,0
GPT-2 Small,6,hellaswag,985,3,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,986,3,1,1,1,0,0,0
GPT-2 Small,6,hellaswag,987,1,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,988,2,0,3,3,0,0,0
GPT-2 Small,6,hellaswag,989,1,1,2,2,1,0,0
GPT-2 Small,6,hellaswag,990,3,2,2,2,0,0,0
GPT-2 Small,6,hellaswag,991,2,0,2,2,0,1,1
GPT-2 Small,6,hellaswag,992,3,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,993,3,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,994,1,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,995,1,1,1,1,1,1,1
GPT-2 Small,6,hellaswag,996,1,1,1,1,1,1,1
GPT-2 Small,6,hellaswag,997,1,3,3,3,0,0,0
GPT-2 Small,6,hellaswag,998,1,0,0,0,0,0,0
GPT-2 Small,6,hellaswag,999,2,1,1,1,0,0,0
Gemma-2B,12,winogrande,0,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,1,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,2,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,3,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,4,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,5,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,6,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,7,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,8,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,9,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,10,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,11,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,12,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,13,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,14,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,15,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,16,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,17,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,18,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,19,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,20,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,21,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,22,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,23,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,24,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,25,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,26,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,27,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,28,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,29,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,30,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,31,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,32,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,33,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,34,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,35,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,36,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,37,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,38,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,39,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,40,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,41,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,42,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,43,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,44,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,45,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,46,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,47,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,48,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,49,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,50,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,51,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,52,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,53,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,54,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,55,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,56,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,57,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,58,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,59,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,60,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,61,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,62,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,63,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,64,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,65,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,66,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,67,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,68,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,69,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,70,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,71,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,72,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,73,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,74,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,75,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,76,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,77,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,78,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,79,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,80,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,81,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,82,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,83,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,84,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,85,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,86,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,87,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,88,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,89,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,90,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,91,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,92,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,93,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,94,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,95,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,96,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,97,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,98,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,99,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,100,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,101,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,102,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,103,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,104,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,105,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,106,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,107,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,108,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,109,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,110,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,111,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,112,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,113,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,114,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,115,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,116,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,117,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,118,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,119,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,120,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,121,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,122,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,123,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,124,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,125,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,126,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,127,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,128,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,129,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,130,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,131,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,132,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,133,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,134,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,135,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,136,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,137,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,138,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,139,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,140,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,141,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,142,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,143,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,144,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,145,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,146,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,147,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,148,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,149,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,150,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,151,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,152,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,153,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,154,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,155,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,156,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,157,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,158,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,159,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,160,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,161,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,162,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,163,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,164,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,165,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,166,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,167,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,168,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,169,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,170,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,171,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,172,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,173,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,174,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,175,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,176,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,177,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,178,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,179,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,180,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,181,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,182,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,183,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,184,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,185,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,186,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,187,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,188,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,189,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,190,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,191,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,192,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,193,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,194,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,195,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,196,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,197,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,198,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,199,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,200,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,201,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,202,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,203,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,204,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,205,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,206,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,207,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,208,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,209,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,210,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,211,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,212,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,213,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,214,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,215,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,216,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,217,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,218,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,219,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,220,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,221,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,222,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,223,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,224,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,225,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,226,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,227,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,228,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,229,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,230,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,231,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,232,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,233,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,234,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,235,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,236,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,237,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,238,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,239,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,240,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,241,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,242,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,243,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,244,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,245,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,246,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,247,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,248,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,249,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,250,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,251,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,252,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,253,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,254,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,255,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,256,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,257,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,258,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,259,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,260,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,261,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,262,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,263,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,264,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,265,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,266,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,267,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,268,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,269,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,270,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,271,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,272,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,273,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,274,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,275,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,276,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,277,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,278,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,279,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,280,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,281,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,282,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,283,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,284,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,285,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,286,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,287,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,288,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,289,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,290,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,291,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,292,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,293,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,294,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,295,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,296,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,297,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,298,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,299,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,300,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,301,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,302,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,303,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,304,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,305,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,306,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,307,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,308,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,309,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,310,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,311,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,312,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,313,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,314,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,315,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,316,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,317,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,318,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,319,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,320,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,321,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,322,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,323,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,324,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,325,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,326,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,327,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,328,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,329,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,330,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,331,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,332,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,333,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,334,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,335,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,336,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,337,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,338,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,339,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,340,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,341,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,342,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,343,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,344,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,345,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,346,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,347,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,348,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,349,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,350,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,351,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,352,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,353,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,354,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,355,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,356,0,1,0,0,0,1,1
Gemma-2B,12,winogrande,357,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,358,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,359,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,360,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,361,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,362,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,363,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,364,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,365,1,0,0,0,0,0,0
Gemma-2B,12,winogrande,366,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,367,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,368,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,369,1,1,0,0,1,0,0
Gemma-2B,12,winogrande,370,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,371,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,372,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,373,0,0,0,0,1,1,1
Gemma-2B,12,winogrande,374,1,0,1,1,0,1,1
Gemma-2B,12,winogrande,375,0,0,1,1,1,0,0
Gemma-2B,12,winogrande,376,1,1,1,1,1,1,1
Gemma-2B,12,winogrande,377,0,1,1,1,0,0,0
Gemma-2B,12,winogrande,378,0,0,1,1,1,0,0
